IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
149291665,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/05/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.10342696947218,37.64284696020317,"(-122.10342696947218, 37.64284696020317)",149291665355219
171149021,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/06/2003,01:00,UNKNOWN,NONE,UNKNOWN,-122.44998395097777,37.745778900298035,"(-122.44998395097777, 37.745778900298035)",171149021355219
127776763,INDECENT EXPOSURE,SEE CATEGORY,Friday,02/07/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.38307484986528,37.63677725227955,"(-122.38307484986528, 37.63677725227955)",127776763355219
184743456,INDECENT EXPOSURE,SEE CATEGORY,Monday,02/10/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.22642780426172,37.60985647819508,"(-122.22642780426172, 37.60985647819508)",184743456355219
141346222,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/11/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.17537773340095,37.64542125176163,"(-122.17537773340095, 37.64542125176163)",141346222355219
197832491,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/13/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.2828000608282,37.64282563476895,"(-122.2828000608282, 37.64282563476895)",197832491355219
181598976,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/13/2003,15:00,UNKNOWN,NONE,UNKNOWN,-122.28105712157607,37.78133255782101,"(-122.28105712157607, 37.78133255782101)",181598976355219
152103927,INDECENT EXPOSURE,SEE CATEGORY,Saturday,02/15/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.12163731432506,37.80480594166036,"(-122.12163731432506, 37.80480594166036)",152103927355219
143701358,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/18/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.26060456397164,37.722500772032674,"(-122.26060456397164, 37.722500772032674)",143701358355219
192576641,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/18/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.0003519365446,37.68377002113283,"(-122.0003519365446, 37.68377002113283)",192576641355219
181589946,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/18/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.01315257344305,37.768914220364195,"(-122.01315257344305, 37.768914220364195)",181589946355219
124225106,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/18/2003,19:00,UNKNOWN,NONE,UNKNOWN,-122.49517425026922,37.700407265932874,"(-122.49517425026922, 37.700407265932874)",124225106355219
175774159,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/19/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.39525769881334,37.673207780601814,"(-122.39525769881334, 37.673207780601814)",175774159355219
195474643,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/20/2003,01:00,UNKNOWN,NONE,UNKNOWN,-122.34717392324673,37.69034799778211,"(-122.34717392324673, 37.69034799778211)",195474643355219
102866397,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/20/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.25473838520224,37.67216533823394,"(-122.25473838520224, 37.67216533823394)",102866397355219
133394297,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/20/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.01604199801965,37.801643332829705,"(-122.01604199801965, 37.801643332829705)",133394297355219
171166207,INDECENT EXPOSURE,SEE CATEGORY,Friday,02/21/2003,02:00,UNKNOWN,NONE,UNKNOWN,-122.50913062681482,37.61883837632378,"(-122.50913062681482, 37.61883837632378)",171166207355219
186505863,INDECENT EXPOSURE,SEE CATEGORY,Saturday,02/22/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.1191031211092,37.60517733229354,"(-122.1191031211092, 37.60517733229354)",186505863355219
155236830,INDECENT EXPOSURE,SEE CATEGORY,Saturday,02/22/2003,19:00,UNKNOWN,NONE,UNKNOWN,-122.00841851060675,37.75968057228683,"(-122.00841851060675, 37.75968057228683)",155236830355219
157452413,INDECENT EXPOSURE,SEE CATEGORY,Sunday,02/23/2003,09:00,UNKNOWN,NONE,UNKNOWN,-122.36294530344823,37.81406944654037,"(-122.36294530344823, 37.81406944654037)",157452413355219
163758501,INDECENT EXPOSURE,SEE CATEGORY,Sunday,02/23/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.32815595503224,37.77494208304863,"(-122.32815595503224, 37.77494208304863)",163758501355219
176732536,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,02/25/2003,04:00,UNKNOWN,NONE,UNKNOWN,-122.27997421346869,37.60003772653973,"(-122.27997421346869, 37.60003772653973)",176732536355219
103713544,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/26/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.00333872780406,37.759412980572,"(-122.00333872780406, 37.759412980572)",103713544355219
121191746,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,02/26/2003,16:00,UNKNOWN,NONE,UNKNOWN,-122.13899725095433,37.80530882284856,"(-122.13899725095433, 37.80530882284856)",121191746355219
198302734,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/27/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.46105637551727,37.81411698151543,"(-122.46105637551727, 37.81411698151543)",198302734355219
120374626,INDECENT EXPOSURE,SEE CATEGORY,Thursday,02/27/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.09062646974122,37.6333928941529,"(-122.09062646974122, 37.6333928941529)",120374626355219
114431544,INDECENT EXPOSURE,SEE CATEGORY,Friday,02/28/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.47363882082936,37.79430662703841,"(-122.47363882082936, 37.79430662703841)",114431544355219
166234476,INDECENT EXPOSURE,SEE CATEGORY,Friday,02/28/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.1060766202209,37.78987816332054,"(-122.1060766202209, 37.78987816332054)",166234476355219
169967389,INDECENT EXPOSURE,SEE CATEGORY,Friday,02/28/2003,20:00,UNKNOWN,NONE,UNKNOWN,-122.33126498069747,37.61386631519817,"(-122.33126498069747, 37.61386631519817)",169967389355219
197774600,INDECENT EXPOSURE,SEE CATEGORY,Sunday,03/02/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.49943456589732,37.725033039910215,"(-122.49943456589732, 37.725033039910215)",197774600355219
166339117,INDECENT EXPOSURE,SEE CATEGORY,Monday,03/03/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.41930415955493,37.763296301288044,"(-122.41930415955493, 37.763296301288044)",166339117355219
185496296,INDECENT EXPOSURE,SEE CATEGORY,Monday,03/03/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.01079834967858,37.749580154921865,"(-122.01079834967858, 37.749580154921865)",185496296355219
185345578,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,03/05/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.50276155673993,37.755480280447586,"(-122.50276155673993, 37.755480280447586)",185345578355219
159352146,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/06/2003,03:00,UNKNOWN,NONE,UNKNOWN,-122.03205404040243,37.754646388698966,"(-122.03205404040243, 37.754646388698966)",159352146355219
154372775,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/06/2003,21:00,UNKNOWN,NONE,UNKNOWN,-122.14870753267675,37.76390663964034,"(-122.14870753267675, 37.76390663964034)",154372775355219
157415132,INDECENT EXPOSURE,SEE CATEGORY,Sunday,03/09/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.33865013377883,37.76621753005894,"(-122.33865013377883, 37.76621753005894)",157415132355219
167241923,INDECENT EXPOSURE,SEE CATEGORY,Sunday,03/09/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.1055884227446,37.77008975503586,"(-122.1055884227446, 37.77008975503586)",167241923355219
174039670,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,03/11/2003,02:00,UNKNOWN,NONE,UNKNOWN,-122.0244331111589,37.81624421497603,"(-122.0244331111589, 37.81624421497603)",174039670355219
138431975,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,03/11/2003,15:00,UNKNOWN,NONE,UNKNOWN,-122.17285658189972,37.78009899065868,"(-122.17285658189972, 37.78009899065868)",138431975355219
116334064,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,03/12/2003,15:00,UNKNOWN,NONE,UNKNOWN,-122.1138319567381,37.790910148580096,"(-122.1138319567381, 37.790910148580096)",116334064355219
156378587,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/13/2003,18:00,UNKNOWN,NONE,UNKNOWN,-122.20080879003449,37.813994726501235,"(-122.20080879003449, 37.813994726501235)",156378587355219
137882996,INDECENT EXPOSURE,SEE CATEGORY,Friday,03/14/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.23836377197156,37.718066832169335,"(-122.23836377197156, 37.718066832169335)",137882996355219
136368685,INDECENT EXPOSURE,SEE CATEGORY,Friday,03/14/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.28710636928032,37.61849577985564,"(-122.28710636928032, 37.61849577985564)",136368685355219
115022328,INDECENT EXPOSURE,SEE CATEGORY,Saturday,03/15/2003,04:00,UNKNOWN,NONE,UNKNOWN,-122.33913066335546,37.6770735508027,"(-122.33913066335546, 37.6770735508027)",115022328355219
183440861,INDECENT EXPOSURE,SEE CATEGORY,Monday,03/17/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.44768024585316,37.638938150620454,"(-122.44768024585316, 37.638938150620454)",183440861355219
152445875,INDECENT EXPOSURE,SEE CATEGORY,Monday,03/17/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.38019888850519,37.801797765201364,"(-122.38019888850519, 37.801797765201364)",152445875355219
132836618,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/20/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.26235984773035,37.71671886767893,"(-122.26235984773035, 37.71671886767893)",132836618355219
162271599,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/20/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.45531540917705,37.712179739421266,"(-122.45531540917705, 37.712179739421266)",162271599355219
132561076,INDECENT EXPOSURE,SEE CATEGORY,Friday,03/21/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.03765622341122,37.80777947224775,"(-122.03765622341122, 37.80777947224775)",132561076355219
130160811,INDECENT EXPOSURE,SEE CATEGORY,Sunday,03/23/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.4354292697763,37.7771168167847,"(-122.4354292697763, 37.7771168167847)",130160811355219
142465444,INDECENT EXPOSURE,SEE CATEGORY,Sunday,03/23/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.40008402215203,37.68719402042188,"(-122.40008402215203, 37.68719402042188)",142465444355219
174740301,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,03/25/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.0751080784199,37.77261683777567,"(-122.0751080784199, 37.77261683777567)",174740301355219
185858627,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/27/2003,02:00,UNKNOWN,NONE,UNKNOWN,-122.2424288961004,37.7959960777727,"(-122.2424288961004, 37.7959960777727)",185858627355219
192886460,INDECENT EXPOSURE,SEE CATEGORY,Thursday,03/27/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.41613149335737,37.76347972059688,"(-122.41613149335737, 37.76347972059688)",192886460355219
100820952,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,04/02/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.06936194452388,37.77981222985712,"(-122.06936194452388, 37.77981222985712)",100820952355219
103634419,INDECENT EXPOSURE,SEE CATEGORY,Thursday,04/03/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.14980158031108,37.81026874560846,"(-122.14980158031108, 37.81026874560846)",103634419355219
141823268,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/04/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.0693172634969,37.81098871330157,"(-122.0693172634969, 37.81098871330157)",141823268355219
158967318,INDECENT EXPOSURE,SEE CATEGORY,Saturday,04/05/2003,10:00,UNKNOWN,NONE,UNKNOWN,-122.24526941452802,37.60630126822271,"(-122.24526941452802, 37.60630126822271)",158967318355219
103609484,INDECENT EXPOSURE,SEE CATEGORY,Saturday,04/05/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.0634217297301,37.65213632077828,"(-122.0634217297301, 37.65213632077828)",103609484355219
102799203,INDECENT EXPOSURE,SEE CATEGORY,Monday,04/07/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.10323490044365,37.606153993516386,"(-122.10323490044365, 37.606153993516386)",102799203355219
106575383,INDECENT EXPOSURE,SEE CATEGORY,Monday,04/07/2003,04:00,UNKNOWN,NONE,UNKNOWN,-122.20324976144173,37.719979150321635,"(-122.20324976144173, 37.719979150321635)",106575383355219
186679055,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,04/08/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.4040209848356,37.73616016188441,"(-122.4040209848356, 37.73616016188441)",186679055355219
113997217,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,04/08/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.1699002352867,37.79032201044678,"(-122.1699002352867, 37.79032201044678)",113997217355219
120171722,INDECENT EXPOSURE,SEE CATEGORY,Sunday,04/13/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.19390437299171,37.67173096968262,"(-122.19390437299171, 37.67173096968262)",120171722355219
106811989,INDECENT EXPOSURE,SEE CATEGORY,Sunday,04/13/2003,13:00,UNKNOWN,NONE,UNKNOWN,-122.43082771759457,37.71277430378841,"(-122.43082771759457, 37.71277430378841)",106811989355219
108295373,INDECENT EXPOSURE,SEE CATEGORY,Sunday,04/13/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.21803036092024,37.652545881444006,"(-122.21803036092024, 37.652545881444006)",108295373355219
168809095,INDECENT EXPOSURE,SEE CATEGORY,Sunday,04/13/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.16607937661075,37.7322657044475,"(-122.16607937661075, 37.7322657044475)",168809095355219
137993211,INDECENT EXPOSURE,SEE CATEGORY,Sunday,04/13/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.09215660695855,37.75722777759569,"(-122.09215660695855, 37.75722777759569)",137993211355219
131362588,INDECENT EXPOSURE,SEE CATEGORY,Thursday,04/17/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.13321480294171,37.77070938718451,"(-122.13321480294171, 37.77070938718451)",131362588355219
143412246,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/18/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.48646264516334,37.7372675795976,"(-122.48646264516334, 37.7372675795976)",143412246355219
151799674,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/18/2003,09:00,UNKNOWN,NONE,UNKNOWN,-122.22143978286515,37.66779846141674,"(-122.22143978286515, 37.66779846141674)",151799674355219
114906847,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/18/2003,13:00,UNKNOWN,NONE,UNKNOWN,-122.22044338723153,37.66794878894244,"(-122.22044338723153, 37.66794878894244)",114906847355219
198155497,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/18/2003,21:00,UNKNOWN,NONE,UNKNOWN,-122.4339420398434,37.76951341893895,"(-122.4339420398434, 37.76951341893895)",198155497355219
196360057,INDECENT EXPOSURE,SEE CATEGORY,Saturday,04/19/2003,11:00,UNKNOWN,NONE,UNKNOWN,-122.43437649243803,37.79074124726551,"(-122.43437649243803, 37.79074124726551)",196360057355219
135352335,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,04/22/2003,03:00,UNKNOWN,NONE,UNKNOWN,-122.47719653334246,37.81038921990388,"(-122.47719653334246, 37.81038921990388)",135352335355219
187125434,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,04/22/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.47899822747418,37.733674324598525,"(-122.47899822747418, 37.733674324598525)",187125434355219
183909556,INDECENT EXPOSURE,SEE CATEGORY,Thursday,04/24/2003,06:00,UNKNOWN,NONE,UNKNOWN,-122.33804700931626,37.80878524246914,"(-122.33804700931626, 37.80878524246914)",183909556355219
124089716,INDECENT EXPOSURE,SEE CATEGORY,Thursday,04/24/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.25195540512289,37.78617207700692,"(-122.25195540512289, 37.78617207700692)",124089716355219
108180859,INDECENT EXPOSURE,SEE CATEGORY,Friday,04/25/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.37520059993454,37.766470380730524,"(-122.37520059993454, 37.766470380730524)",108180859355219
146209962,INDECENT EXPOSURE,SEE CATEGORY,Friday,05/02/2003,09:00,UNKNOWN,NONE,UNKNOWN,-122.48353355122741,37.708531067526295,"(-122.48353355122741, 37.708531067526295)",146209962355219
100480601,INDECENT EXPOSURE,SEE CATEGORY,Friday,05/02/2003,17:00,UNKNOWN,NONE,UNKNOWN,-122.44390562341076,37.78743360486618,"(-122.44390562341076, 37.78743360486618)",100480601355219
171201161,INDECENT EXPOSURE,SEE CATEGORY,Saturday,05/03/2003,00:00,UNKNOWN,NONE,UNKNOWN,-122.21929219449999,37.7821338178448,"(-122.21929219449999, 37.7821338178448)",171201161355219
168081805,INDECENT EXPOSURE,SEE CATEGORY,Saturday,05/03/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.45030011054803,37.61319688424953,"(-122.45030011054803, 37.61319688424953)",168081805355219
152777608,INDECENT EXPOSURE,SEE CATEGORY,Monday,05/05/2003,16:00,UNKNOWN,NONE,UNKNOWN,-122.21652240702262,37.76564112526525,"(-122.21652240702262, 37.76564112526525)",152777608355219
141109087,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,05/06/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.49800074625388,37.81214099188306,"(-122.49800074625388, 37.81214099188306)",141109087355219
104814280,INDECENT EXPOSURE,SEE CATEGORY,Tuesday,05/06/2003,23:00,UNKNOWN,NONE,UNKNOWN,-122.4432924701842,37.81176256214572,"(-122.4432924701842, 37.81176256214572)",104814280355219
197203759,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,05/07/2003,05:00,UNKNOWN,NONE,UNKNOWN,-122.35299820586162,37.778650126119665,"(-122.35299820586162, 37.778650126119665)",197203759355219
111314604,INDECENT EXPOSURE,SEE CATEGORY,Wednesday,05/07/2003,18:00,UNKNOWN,NONE,UNKNOWN,-122.41373271587732,37.773925446828365,"(-122.41373271587732, 37.773925446828365)",111314604355219
132076913,INDECENT EXPOSURE,SEE CATEGORY,Thursday,05/08/2003,01:00,UNKNOWN,NONE,UNKNOWN,-122.42805857117179,37.64128270163746,"(-122.42805857117179, 37.64128270163746)",132076913355219
114133051,INDECENT EXPOSURE,SEE CATEGORY,Thursday,05/08/2003,07:00,UNKNOWN,NONE,UNKNOWN,-122.43787894592195,37.671284141086446,"(-122.43787894592195, 37.671284141086446)",114133051355219
119266833,INDECENT EXPOSURE,SEE CATEGORY,Thursday,05/08/2003,19:00,UNKNOWN,NONE,UNKNOWN,-122.42590047693737,37.77499609777939,"(-122.42590047693737, 37.77499609777939)",119266833355219
139632661,INDECENT EXPOSURE,SEE CATEGORY,Friday,05/09/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.07803848085584,37.80784005265648,"(-122.07803848085584, 37.80784005265648)",139632661355219
147653724,INDECENT EXPOSURE,SEE CATEGORY,Saturday,05/10/2003,08:00,UNKNOWN,NONE,UNKNOWN,-122.14651253399677,37.774350255410205,"(-122.14651253399677, 37.774350255410205)",147653724355219
171839642,INDECENT EXPOSURE,SEE CATEGORY,Sunday,05/11/2003,21:00,UNKNOWN,NONE,UNKNOWN,-122.00407729649591,37.767899318862526,"(-122.00407729649591, 37.767899318862526)",171839642355219
145887052,INDECENT EXPOSURE,SEE CATEGORY,Sunday,05/11/2003,22:00,UNKNOWN,NONE,UNKNOWN,-122.38559338188185,37.67173952326955,"(-122.38559338188185, 37.67173952326955)",145887052355219
196210417,INDECENT EXPOSURE,SEE CATEGORY,Monday,05/12/2003,21:00,UNKNOWN,NONE,UNKNOWN,-122.24258052464863,37.662849688119884,"(-122.24258052464863, 37.662849688119884)",196210417355219
156157925,INDECENT EXPOSURE,SEE CATEGORY,Friday,05/16/2003,12:00,UNKNOWN,NONE,UNKNOWN,-122.4127797772078,37.7703631876308,"(-122.4127797772078, 37.7703631876308)",156157925355219
173135490,INDECENT EXPOSURE,SEE CATEGORY,Saturday,05/17/2003,14:00,UNKNOWN,NONE,UNKNOWN,-122.0477080495431,37.635478987780516,"(-122.0477080495431, 37.635478987780516)",173135490355219
